Algorithm, Arrival Time, Service Time, Wait Time, Finish Time, Turnaround Time
FCFS, 0, 0, 0, 0, 0
FCFS, 4, 5, 0, 9, 5
FCFS, 6, 6, 3,15, 9
FCFS,15, 3, 0,18, 3
FCFS,15, 3, 3,21, 6
FCFS,21, 8, 0,29, 8
FCFS,25, 3, 4,32, 7
FCFS,30, 6, 2,38, 8
FCFS,36, 7, 2,45, 9
FCFS,45, 9, 0,54, 9
FCFS,53, 5, 1,59, 6
FCFS,58, 2, 1,61, 3
FCFS,58, 2, 3,63, 5
FCFS,63, 5, 0,68, 5
FCFS,65, 1, 3,69, 4
FCFS,69, 5, 0,74, 5
FCFS,74, 9, 0,83, 9
FCFS,82, 6, 1,89, 7
FCFS,88, 3, 1,92, 4
FCFS,90, 4, 2,96, 6
FCFS,95, 8, 1,104, 9
FCFS,102, 4, 2,108, 6
FCFS,102, 4, 6,112,10
FCFS,112, 4, 0,116, 4
FCFS,116, 3, 0,119, 3
FCFS,116, 3, 3,122, 6
FCFS,122, 5, 0,127, 5
FCFS,127, 6, 0,133, 6
FCFS,133, 3, 0,136, 3
FCFS,133, 3, 3,139, 6
FCFS,139, 0, 0,139, 0
FCFS,139, 0, 0,139, 0
FCFS,139, 0, 0,139, 0
FCFS,139, 0, 0,139, 0
FCFS,139, 0, 0,139, 0
FCFS,139, 0, 0,139, 0
FCFS,139, 0, 0,139, 0
FCFS,139, 0, 0,139, 0
FCFS,139, 0, 0,139, 0
FCFS,139, 0, 0,139, 0
FCFS,139, 0, 0,139, 0
FCFS,139, 0, 0,139, 0
FCFS,139, 0, 0,139, 0
FCFS,139, 0, 0,139, 0
FCFS,141, 5, 0,146, 5
FCFS,146, 5, 0,151, 5
FCFS,150,10, 1,161,11
FCFS,161, 3, 0,164, 3
FCFS,163, 5, 1,169, 6
FCFS,168, 5, 1,174, 6
FCFS,171, 8, 3,182,11
FCFS,181, 6, 1,188, 7
FCFS,187, 4, 1,192, 5
FCFS,192, 7, 0,199, 7
FCFS,198, 4, 1,203, 5
FCFS,198, 4, 5,207, 9
FCFS,207, 6, 0,213, 6
FCFS,212, 6, 1,219, 7
FCFS,218, 6, 1,225, 7
FCFS,225, 5, 0,230, 5
FCFS,227, 3, 3,233, 6
FCFS,227, 3, 6,236, 9
FCFS,234, 4, 2,240, 6
FCFS,240, 9, 0,249, 9
FCFS,246, 4, 3,253, 7
FCFS,250, 4, 3,257, 7
FCFS,254, 5, 3,262, 8
FCFS,262, 5, 0,267, 5
FCFS,264, 4, 3,271, 7
FCFS,271, 5, 0,276, 5
FCFS,276, 3, 0,279, 3
FCFS,278, 3, 1,282, 4
FCFS,280, 3, 2,285, 5
FCFS,285, 5, 0,290, 5
FCFS,288, 6, 2,296, 8
FCFS,294, 3, 2,299, 5
FCFS,299, 3, 0,302, 3
FCFS,301, 2, 1,304, 3
FCFS,304, 3, 0,307, 3
FCFS,307, 5, 0,312, 5
FCFS,310, 7, 2,319, 9
FCFS,317, 5, 2,324, 7
FCFS,320, 1, 4,325, 5
FCFS,325, 4, 0,329, 4
FCFS,326, 6, 3,335, 9
FCFS,332, 5, 3,340, 8
FCFS,336, 8, 4,348,12
FCFS,347, 3, 1,351, 4
FCFS,350, 7, 1,358, 8
FCFS,356, 7, 2,365, 9
FCFS,364, 5, 1,370, 6
FCFS,369, 5, 1,375, 6
FCFS,375, 7, 0,382, 7
FCFS,380, 8, 2,390,10
FCFS,388, 3, 2,393, 5
FCFS,391, 6, 2,399, 8
FCFS,395, 6, 4,405,10
FCFS,405, 6, 0,411, 6
FCFS,411, 5, 0,416, 5
FCFS,414, 9, 2,425,11
FCFS,425, 4, 0,429, 4
FCFS,429, 5, 0,434, 5
FCFS,434, 3, 0,437, 3
FCFS,434, 3, 3,440, 6
FCFS,440, 9, 0,449, 9
FCFS,448, 4, 1,453, 5
FCFS,453, 4, 0,457, 4
FCFS,457, 1, 0,458, 1
FCFS,457, 1, 1,459, 2
FCFS,459, 3, 0,462, 3
FCFS,460, 8, 2,470,10
FCFS,469, 8, 1,478, 9
FCFS,478, 5, 0,483, 5
FCFS,480, 5, 3,488, 8
FCFS,488, 4, 0,492, 4
FCFS,491, 4, 1,496, 5
FCFS,495, 2, 1,498, 3
FCFS,495, 2, 3,500, 5
FCFS,500, 4, 0,504, 4
FCFS,504, 7, 0,511, 7
FCFS,509, 6, 2,517, 8
FCFS,513, 1, 4,518, 5
FCFS,513, 1, 5,519, 6
FCFS,519, 7, 0,526, 7
FCFS,524, 7, 2,533, 9
FCFS,531, 6, 2,539, 8
FCFS,538, 6, 1,545, 7
FCFS,543, 3, 2,548, 5
